artists,country,popularity,is_explicit,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
"Tjuvjakt, Fanny Avonne",SE,76,False,190344,0.735,0.653,3,-6.261,1,0.0533,0.36,0.0,0.0791,0.62,116.002,4
Ida-Lova,SE,77,False,187076,0.404,0.683,1,-6.969,1,0.0594,0.302,0.0,0.318,0.661,162.091,4
Lov1,SE,64,False,208201,0.695,0.676,8,-6.859,1,0.0384,0.101,0.0,0.0929,0.431,121.962,4
KAJ,SE,75,False,166880,0.757,0.889,9,-4.729,0,0.0788,0.0754,2.32e-05,0.0397,0.754,106.037,4
"Humlan Djojj, Josefine Götestam",SE,76,False,140046,0.684,0.0326,0,-17.898,1,0.0583,0.973,2e-06,0.108,0.44,66.685,5
Alex Warren,SE,95,False,186964,0.368,0.694,2,-6.141,1,0.06,0.704,6.59e-06,0.055,0.391,168.115,3
Tommy Cash,SE,84,False,173746,0.682,0.699,4,-6.168,0,0.045,0.0116,9.82e-06,0.135,0.697,119.889,4
Victor Leksell,SE,65,False,159346,0.521,0.693,9,-5.651,1,0.0382,0.258,0.0,0.258,0.666,110.274,4
"ADAAM, Greekazo, ROMANOS",SE,73,False,109800,0.759,0.872,5,-4.021,0,0.0616,0.214,0.000666,0.401,0.821,99.954,4
Sabrina Carpenter,SE,89,True,213645,0.731,0.685,7,-5.087,1,0.0572,0.122,0.0,0.317,0.811,123.01,4
Håkan Hellström,SE,67,False,267106,0.552,0.872,0,-6.48,1,0.0459,0.0113,3.2e-05,0.507,0.469,127.027,4
Soppgirobygget,SE,71,False,163200,0.611,0.96,0,-5.7,0,0.142,0.0309,0.0,0.136,0.624,150.035,4
Niklas Strömstedt,SE,72,False,248066,0.602,0.759,8,-6.646,0,0.0308,0.0406,2.38e-05,0.0975,0.505,88.957,4
Hov1,SE,60,True,187200,0.586,0.557,2,-4.498,1,0.18,0.606,0.0,0.102,0.587,99.891,4
Lia Lindstén,SE,57,False,170918,0.731,0.255,10,-13.858,1,0.0474,0.891,2.76e-06,0.105,0.498,119.999,5
Babblarna,SE,67,False,334053,0.299,0.234,11,-13.009,1,0.0321,0.828,0.000101,0.0959,0.333,186.369,4
Ed Sheeran,SE,92,False,162029,0.663,0.899,6,-5.103,1,0.0473,0.00255,0.0,0.065,0.876,127.998,4
Sarettii,SE,63,True,154000,0.888,0.685,0,-5.428,0,0.284,0.557,4.02e-06,0.0956,0.729,120.007,4
sombr,SE,96,False,182088,0.642,0.887,0,-3.883,1,0.0406,0.137,0.0,0.0829,0.888,115.999,4
Veronica Maggio,SE,69,False,212453,0.625,0.676,0,-7.059,1,0.036,0.115,0.00277,0.248,0.629,120.019,4
Veronica Maggio,SE,69,False,189680,0.607,0.847,4,-5.078,1,0.055,0.135,0.0,0.0848,0.731,157.004,4
Søte og Rare Gutter,SE,73,True,139975,0.761,0.691,1,-5.127,0,0.188,0.24,0.000104,0.0902,0.705,153.011,4
"Humlan Djojj, Josefine Götestam",SE,69,False,160373,0.274,0.073,0,-15.555,1,0.0384,0.98,2.36e-05,0.168,0.261,174.298,3
"Humlan Djojj, Josefine Götestam",SE,68,False,166216,0.276,0.0676,9,-18.426,1,0.0324,0.985,0.00402,0.0729,0.118,71.766,4
sombr,SE,98,False,199032,0.436,0.723,1,-2.291,1,0.0301,9.37e-05,8.82e-05,0.0929,0.235,92.855,4
"Tate McRae, F1 The Album",SE,91,False,142550,0.656,0.796,9,-5.856,0,0.113,0.0767,0.0,0.509,0.425,129.956,4
"Håkan Hellström, Otto Knows",SE,63,False,286875,0.542,0.862,2,-4.423,1,0.0969,0.251,0.000122,0.111,0.441,128.024,4
Bolaget,SE,68,False,146718,0.721,0.414,11,-9.104,0,0.132,0.219,0.0,0.164,0.652,144.758,4
"Veronica Maggio, Håkan Hellström",SE,65,False,213480,0.607,0.704,11,-3.502,1,0.0326,0.342,0.0,0.195,0.564,114.049,4
Veronica Maggio,SE,67,False,220520,0.76,0.675,1,-6.299,1,0.0254,0.244,8.42e-06,0.105,0.783,106.942,4
Hov1,SE,68,True,248893,0.655,0.651,8,-7.063,1,0.122,0.0267,0.0,0.133,0.782,90.054,4
Tjuvjakt,SE,68,False,242320,0.744,0.857,11,-5.315,0,0.233,0.148,0.0,0.0897,0.843,137.809,4
Ravyn Lenae,SE,91,False,213466,0.779,0.731,0,-6.176,1,0.0306,0.296,0.0,0.128,0.814,114.001,4
Norlie & KKV,SE,66,True,189800,0.689,0.754,1,-4.433,1,0.0395,0.0285,0.0,0.144,0.717,114.008,4
Soppgirobygget,SE,69,False,147428,0.608,0.904,5,-5.842,1,0.302,0.0514,0.0,0.45,0.579,139.855,4
Håkan Hellström,SE,64,False,198173,0.316,0.3,7,-12.51,1,0.0301,0.884,0.00368,0.0927,0.317,96.31,3
"Molly Sandén, Astrid S",SE,69,False,194425,0.733,0.659,9,-6.202,1,0.0468,0.116,0.0,0.123,0.57,117.95,4
Darin,SE,63,False,192575,0.535,0.571,1,-7.882,0,0.199,0.058,4.96e-06,0.161,0.575,191.686,4
Hov1,SE,70,True,241180,0.816,0.641,6,-4.877,1,0.265,0.783,0.0,0.163,0.747,108.133,4
Håkan Hellström,SE,62,False,228893,0.242,0.824,0,-4.151,1,0.0481,0.000605,1.4e-05,0.286,0.503,119.036,4
"Humlan Djojj, Josefine Götestam",SE,67,False,161481,0.493,0.0509,10,-20.307,1,0.0312,0.982,0.0252,0.125,0.0975,81.005,4
"WizTheMc, bees & honey",SE,94,False,176965,0.714,0.691,1,-7.333,1,0.0434,0.0212,0.000292,0.111,0.155,107.15,4
"Alex Warren, Jelly Roll",SE,90,False,182008,0.621,0.779,4,-6.346,0,0.056,0.255,0.0,0.0683,0.513,127.925,4
Roc Boyz,SE,66,True,138187,0.594,0.909,2,-5.711,1,0.0687,0.0446,8.12e-06,0.762,0.597,160.097,4
Mares,SE,65,False,202409,0.718,0.702,1,-6.845,0,0.0324,0.0184,1.27e-05,0.388,0.357,103.934,4
"Humlan Djojj, Josefine Götestam",SE,66,False,114124,0.304,0.0124,2,-23.813,1,0.037,0.995,0.856,0.104,0.12,68.317,3
Bolaget,SE,67,False,137727,0.617,0.529,0,-7.931,1,0.0957,0.498,0.0,0.553,0.501,165.015,4
"Fjellrev, Kudos",SE,69,True,113400,0.609,0.824,1,-3.983,0,0.108,0.335,0.0,0.129,0.868,149.863,4
Victor Leksell,SE,68,False,147800,0.764,0.536,7,-4.805,1,0.0686,0.298,0.0,0.149,0.362,95.046,4
Oskar Linnros,SE,65,False,193360,0.599,0.803,10,-6.695,1,0.0507,0.0224,0.0342,0.0909,0.392,143.013,4
Alex Warren,PT,95,False,186964,0.368,0.694,2,-6.141,1,0.06,0.704,6.59e-06,0.055,0.391,168.115,3
Plutonio,PT,68,False,188593,0.676,0.621,11,-7.055,0,0.288,0.451,2.19e-06,0.143,0.21,65.301,3
Vizinhos,PT,65,False,160625,0.713,0.487,11,-10.438,1,0.0392,0.349,0.0,0.102,0.521,114.034,4
"Dj Caio Vieira, MC Meno K, Mc Rodrigo do CN",PT,81,True,132922,0.945,0.661,9,-2.343,0,0.356,0.216,0.0,0.0698,0.773,130.069,4
"DJ Malvado, DJ Aka-m, DODDY",PT,70,False,256483,0.893,0.543,8,-5.879,0,0.07,0.115,4.72e-05,0.0919,0.78,124.038,4
NAPA,PT,79,False,179996,0.568,0.455,6,-7.931,1,0.0275,0.15,0.00027,0.152,0.412,75.504,4
"DG e Batidão Stronda, Mc Davi, J. Eskine, MC G15",PT,85,False,144000,0.745,0.881,4,-2.964,0,0.0335,0.192,0.0,0.0639,0.967,140.047,4
Calema,PT,64,False,186922,0.663,0.564,6,-8.569,0,0.238,0.318,0.0,0.415,0.685,94.84,4
"W Sound, Beéle, Ovy On The Drums",PT,95,True,150001,0.894,0.643,5,-3.485,1,0.132,0.543,0.000984,0.101,0.659,99.039,4
"Kew, Dj LK da Escócia",PT,85,True,111653,0.84,0.72,9,-4.23,1,0.0538,0.143,3.36e-05,0.0587,0.828,130.029,4
Bad Bunny,PT,97,True,237117,0.625,0.131,7,-27.405,0,0.0717,0.177,0.218,0.0807,0.032,136.02,4
"Nilo, Mc Paiva ZS, DJ Di Marques, Tropa da W&S, FamousKyo",PT,83,False,174110,0.635,0.636,5,-3.72,1,0.309,0.636,0.0,0.317,0.691,128.528,4
"WizTheMc, bees & honey",PT,94,False,176965,0.714,0.691,1,-7.333,1,0.0434,0.0212,0.000292,0.111,0.155,107.15,4
"Oruam, Zé Felipe, MC Tuto, Dj Lc da Roça, Mc Rodrigo do CN, MC K9, mc pl alves",PT,81,True,166861,0.905,0.861,11,-2.313,0,0.243,0.0361,1.3e-05,0.0808,0.727,137.195,4
"Repsaj, ATLXS, Mc Jhey",PT,86,True,103727,0.67,0.976,1,-2.113,1,0.044,0.027,1.59e-06,0.124,0.34,130.103,4
