artists,country,popularity,is_explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_s,artist_count,artists_list
"tjuvjakt, fanny avonne",SE,76,False,0.735,0.653,3,-6.261,1,0.0533,0.36,0.0,0.0791,0.62,116.002,4,190.344,2,"['tjuvjakt', 'fanny avonne']"
ida-lova,SE,77,False,0.404,0.683,1,-6.969,1,0.0594,0.302,0.0,0.318,0.661,162.091,4,187.076,1,['ida-lova']
lov1,SE,64,False,0.695,0.676,8,-6.859,1,0.0384,0.101,0.0,0.0929,0.431,121.962,4,208.201,1,['lov1']
kaj,SE,75,False,0.757,0.889,9,-4.729,0,0.0788,0.0754,2.32e-05,0.0397,0.754,106.037,4,166.88,1,['kaj']
"humlan djojj, josefine götestam",SE,76,False,0.684,0.0326,0,-17.898,1,0.0583,0.973,2e-06,0.108,0.44,66.685,5,140.046,2,"['humlan djojj', 'josefine götestam']"
alex warren,SE,95,False,0.368,0.694,2,-6.141,1,0.06,0.704,6.59e-06,0.055,0.391,168.115,3,186.964,1,['alex warren']
tommy cash,SE,84,False,0.682,0.699,4,-6.168,0,0.045,0.0116,9.82e-06,0.135,0.697,119.889,4,173.746,1,['tommy cash']
victor leksell,SE,65,False,0.521,0.693,9,-5.651,1,0.0382,0.258,0.0,0.258,0.666,110.274,4,159.346,1,['victor leksell']
"adaam, greekazo, romanos",SE,73,False,0.759,0.872,5,-4.021,0,0.0616,0.214,0.000666,0.401,0.821,99.954,4,109.8,3,"['adaam', 'greekazo', 'romanos']"
sabrina carpenter,SE,89,True,0.731,0.685,7,-5.087,1,0.0572,0.122,0.0,0.317,0.811,123.01,4,213.645,1,['sabrina carpenter']
håkan hellström,SE,67,False,0.552,0.872,0,-6.48,1,0.0459,0.0113,3.2e-05,0.507,0.469,127.027,4,267.106,1,['håkan hellström']
soppgirobygget,SE,71,False,0.611,0.96,0,-5.7,0,0.142,0.0309,0.0,0.136,0.624,150.035,4,163.2,1,['soppgirobygget']
niklas strömstedt,SE,72,False,0.602,0.759,8,-6.646,0,0.0308,0.0406,2.38e-05,0.0975,0.505,88.957,4,248.066,1,['niklas strömstedt']
hov1,SE,60,True,0.586,0.557,2,-4.498,1,0.18,0.606,0.0,0.102,0.587,99.891,4,187.2,1,['hov1']
lia lindstén,SE,57,False,0.731,0.255,10,-13.858,1,0.0474,0.891,2.76e-06,0.105,0.498,119.999,5,170.918,1,['lia lindstén']
babblarna,SE,67,False,0.299,0.234,11,-13.009,1,0.0321,0.828,0.000101,0.0959,0.333,186.369,4,334.053,1,['babblarna']
ed sheeran,SE,92,False,0.663,0.899,6,-5.103,1,0.0473,0.00255,0.0,0.065,0.876,127.998,4,162.029,1,['ed sheeran']
sarettii,SE,63,True,0.888,0.685,0,-5.428,0,0.284,0.557,4.02e-06,0.0956,0.729,120.007,4,154.0,1,['sarettii']
sombr,SE,96,False,0.642,0.887,0,-3.883,1,0.0406,0.137,0.0,0.0829,0.888,115.999,4,182.088,1,['sombr']
veronica maggio,SE,69,False,0.625,0.676,0,-7.059,1,0.036,0.115,0.00277,0.248,0.629,120.019,4,212.453,1,['veronica maggio']
veronica maggio,SE,69,False,0.607,0.847,4,-5.078,1,0.055,0.135,0.0,0.0848,0.731,157.004,4,189.68,1,['veronica maggio']
søte og rare gutter,SE,73,True,0.761,0.691,1,-5.127,0,0.188,0.24,0.000104,0.0902,0.705,153.011,4,139.975,1,['søte og rare gutter']
"humlan djojj, josefine götestam",SE,69,False,0.274,0.073,0,-15.555,1,0.0384,0.98,2.36e-05,0.168,0.261,174.298,3,160.373,2,"['humlan djojj', 'josefine götestam']"
"humlan djojj, josefine götestam",SE,68,False,0.276,0.0676,9,-18.426,1,0.0324,0.985,0.00402,0.0729,0.118,71.766,4,166.216,2,"['humlan djojj', 'josefine götestam']"
sombr,SE,98,False,0.436,0.723,1,-2.291,1,0.0301,9.37e-05,8.82e-05,0.0929,0.235,92.855,4,199.032,1,['sombr']
"tate mcrae, f1 the album",SE,91,False,0.656,0.796,9,-5.856,0,0.113,0.0767,0.0,0.509,0.425,129.956,4,142.55,2,"['tate mcrae', 'f1 the album']"
"håkan hellström, otto knows",SE,63,False,0.542,0.862,2,-4.423,1,0.0969,0.251,0.000122,0.111,0.441,128.024,4,286.875,2,"['håkan hellström', 'otto knows']"
bolaget,SE,68,False,0.721,0.414,11,-9.104,0,0.132,0.219,0.0,0.164,0.652,144.758,4,146.718,1,['bolaget']
"veronica maggio, håkan hellström",SE,65,False,0.607,0.704,11,-3.502,1,0.0326,0.342,0.0,0.195,0.564,114.049,4,213.48,2,"['veronica maggio', 'håkan hellström']"
veronica maggio,SE,67,False,0.76,0.675,1,-6.299,1,0.0254,0.244,8.42e-06,0.105,0.783,106.942,4,220.52,1,['veronica maggio']
